sensor_index,name,timestamp,pm1_0,pm2_5
189469,Hospital Zambran Hellion TecSalud,2026-09-08T16:12:31.491389+00:00,18.3,28.3
208785,Colegio Cambridge de Monterrey Campus Anáhuac,2026-09-08T16:12:31.491389+00:00,26.2,33.7
209147,Rincon de San Jeronimo,2026-09-08T16:12:31.491389+00:00,19.0,29.0
227879,Rectoria,2026-09-08T16:12:31.491389+00:00,22.8,30.6
227887,Sensor_Purple_Air-Explanada_EGP-Entrada_Prin,2026-09-08T16:12:31.491389+00:00,13.7,16.9
227889,Parque central,2026-09-08T16:12:31.491389+00:00,22.5,29.1
227907,Estacionamiento Alumnos,2026-09-08T16:12:31.491389+00:00,23.5,32.0
227913,EGADE-Sombrillas,2026-09-08T16:12:31.491389+00:00,22.6,31.6
228003,EGL-Jardín Robótica,2026-09-08T16:12:31.491389+00:00,24.9,34.8
228001,C-MTY Explanada 2,2026-09-08T16:12:31.491389+00:00,29.0,40.9
228383,Estadio Banorte,2026-09-08T16:12:31.491389+00:00,28.8,39.0
228381,C-MTY RAMPA CAFETERÍA,2026-09-08T16:12:31.491389+00:00,23.1,32.7
228389,PEGS-Sensor-Canchas,2026-09-08T16:12:31.491389+00:00,23.5,31.5
228407,CEDES,2026-09-08T16:12:31.491389+00:00,19.3,23.4
278863,Rio Balsas,2026-09-08T16:20:41.223990+00:00,20.4,26.8
278869,Veredalta,2026-09-08T16:20:41.223990+00:00,21.1,28.2
278871,Parroquia Reina de Los Ángeles,2026-09-08T16:20:41.223990+00:00,13.3,21.0
278875,Secretaría de Relaciones Exteriores,2026-09-08T16:20:41.223990+00:00,21.6,30.7
278883,Mater International Institute,2026-09-08T16:20:41.223990+00:00,18.7,24.7
278889,Chipinque Meseta,2026-09-08T16:20:41.223990+00:00,20.6,31.8
278901,OFICINAS SAN PEDRO PARQUES,2026-09-08T16:20:41.223990+00:00,19.9,26.2
278919,Residencia Tabachín,2026-09-08T16:20:41.223990+00:00,16.9,23.7
278929,Rio Caura,2026-09-08T16:20:41.223990+00:00,19.9,28.1
278931,Residencia Platon,2026-09-08T16:20:41.223990+00:00,19.1,25.6
278937,Residencia Saqqara,2026-09-08T16:20:41.223990+00:00,20.2,26.5
278939,Residencia Rio Rosas,2026-09-08T16:20:41.223990+00:00,22.0,29.7
278951,Parque El Capitán,2026-09-08T16:20:41.223990+00:00,21.0,27.3
278957,Los Pinos,2026-09-08T16:20:41.223990+00:00,16.8,24.3
278959,Colegio Nobel,2026-09-08T16:20:41.223990+00:00,18.3,24.8
278955,Residencia San Mateo,2026-09-08T16:20:41.223990+00:00,19.8,26.5
279836,San Roberto International School San Agustin,2026-09-08T16:20:41.223990+00:00,20.6,28.0
279834,Colegio Ingles Campus Encino,2026-09-08T16:20:41.223990+00:00,21.0,28.7
279854,Pinos,2026-09-08T16:20:41.223990+00:00,16.2,18.1
279866,Lomas del Campestre,2026-09-08T16:20:41.223990+00:00,21.4,29.2
279890,María Desatadora de Nudos,2026-09-08T16:20:41.223990+00:00,20.9,28.4
279926,Parque Mississippi,2026-09-08T16:20:41.223990+00:00,21.2,27.2
280524,Privada Paso de la Sierra,2026-09-08T16:20:41.223990+00:00,18.1,22.0
280520,Irish International School Campus First School,2026-09-08T16:20:41.223990+00:00,21.5,27.9
280532,Museo La Milarca,2026-09-08T16:20:41.223990+00:00,21.5,27.2
280534,Residencia Savotino,2026-09-08T16:20:41.223990+00:00,22.0,29.3
280644,Residencia nogal,2026-09-08T16:20:41.223990+00:00,20.3,28.5
280900,Rio Necaxa,2026-09-08T16:20:41.223990+00:00,21.9,29.0
280902,Residencia Rio Pesqueria,2026-09-08T16:20:41.223990+00:00,21.5,28.3
284960,Esquina Barranquilla y Patagonia (Altavista),2026-09-08T16:20:41.223990+00:00,24.1,32.1
286238,Oasis,2026-09-08T16:20:41.223990+00:00,20.1,24.3
286240,Casa Naranjos,2026-09-08T16:20:41.223990+00:00,23.1,30.6
288064,Terminal,2026-09-08T16:20:41.223990+00:00,26.8,36.0
288066,Hospital de San Vicente,2026-09-08T16:20:41.223990+00:00,25.4,33.1
288332,Facultad de Salud Pública y Nutrición,2026-09-08T16:20:41.223990+00:00,22.5,30.4
292893,TEC-AMM-RB-005,2026-09-08T16:20:41.223990+00:00,27.7,37.7
292895,TEC-AMM-RD-004,2026-09-08T16:20:41.223990+00:00,26.2,35.1
292889,TEC-AMM-RB-003,2026-09-08T16:20:41.223990+00:00,27.6,37.1
292891,TEC-AMM-RC-004,2026-09-08T16:20:41.223990+00:00,27.7,37.0
292901,TEC-AMM-RF-004,2026-09-08T16:20:41.223990+00:00,22.7,29.1
292897,TEC-AMM-RF-005,2026-09-08T16:20:41.223990+00:00,24.2,32.3
292905,TEC-AMM-RC-006,2026-09-08T16:20:41.223990+00:00,26.4,34.0
292941,TEC-AMM-RD-005,2026-09-08T16:20:41.223990+00:00,8.8,11.6
292943,TEC-AMM-RC-005,2026-09-08T16:20:41.223990+00:00,25.3,33.0
